자치구,소계,최근 증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
강남구,3238,150.61919504643964,551888,546952,4936,66011,0.8943843678427507,11.960941350418926
강동구,1010,166.49076517150397,437050,432749,4301,57680,0.9840979292987072,13.197574648209587
강북구,831,125.20325203252031,326063,322385,3678,57401,1.1280028706108942,17.60426666012396
강서구,911,134.7938144329897,606981,600257,6724,78042,1.1077776734362361,12.857404103258585
관악구,2109,149.29078014184398,521960,504048,17912,71317,3.4316805885508472,13.663307533144303
광진구,878,53.22862129144852,370519,355748,14771,44806,3.986570189383001,12.092767172533662
구로구,1884,64.97373029772329,440305,407235,33070,60564,7.510702808280624,13.755010731197693
금천구,1348,100.0,252752,233263,19489,34945,7.710720389947458,13.825805532696082
노원구,1566,188.929889298893,553177,549365,3812,75741,0.6891103570828143,13.692000932793663
도봉구,825,246.6386554621849,344096,341928,2168,54969,0.6300567283548777,15.97490235283177
동대문구,1870,74.76635514018692,364527,348903,15624,56675,4.286102264029825,15.54754517498018
동작구,1302,139.33823529411765,407275,394788,12487,58133,3.065987354981278,14.27364802651771
마포구,980,212.1019108280255,385507,374691,10816,50350,2.805655928426721,13.06072263279266
서대문구,1254,48.5781990521327,323261,311280,11981,49935,3.706293057312821,15.44727016250027
서초구,2297,63.37126600284495,443989,439844,4145,54614,0.9335816878346085,12.300755198890062
성동구,1327,81.78082191780823,316068,308066,8002,42171,2.531733677563056,13.34238201905919
성북구,1651,63.62735381565907,451829,440272,11557,67132,2.5578260802206145,14.857833383868677
송파구,1081,104.34782608695652,673161,666439,6722,79093,0.9985724068982013,11.749492320559272
양천구,2482,34.67173087357569,471026,467151,3875,56742,0.8226722091774127,12.046468772424452
영등포구,1277,157.97979797979798,404501,369003,35498,54994,8.775750863409485,13.59551645113362
용산구,2096,53.216374269005854,245245,229677,15568,37331,6.347937776509205,15.22192093620665
은평구,2108,85.23725834797891,489045,484642,4403,76097,0.9003261458556985,15.560326759296178
종로구,1619,248.92241379310346,163569,153780,9789,26512,5.984630339489757,16.20845025646669
중구,1023,147.6997578692494,135427,126032,9395,21798,6.937316783211619,16.095756385358904
중랑구,916,79.96070726915521,410296,405551,4745,60618,1.1564821494725759,14.774211788562402
