"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"대구광역시청",대구광역시 달성군 구지면 응암리 646,대구광역시 달성군 구지면 응암리 646,교통정보수집,1,200,자동차 진행 방면,,2016-11,053-803-4573,35.647368,128.415547,2019-06-21
"대구광역시청",대구광역시 달성군 구지면 화산리 704,대구광역시 달성군 구지면 화산리 704,교통정보수집,1,200,자동차 진행 방면,,2016-11,053-803-4573,35.664422,128.399093,2019-06-21
"대구광역시청",대구광역시 동구 국채보상로 827,대구광역시 동구 신천3동 850-6,교통단속,1,130,버스전용차로 차량 진행방면,,1999-11,053-803-4887,35.8684012,128.6202472,2019-06-21
"대구광역시청",대구광역시 동구 국채보상로 827,대구광역시 동구 신천3동 850-6,교통단속,1,130,버스전용차로 차량 진행방면,,1999-11,053-803-4887,35.8684012,128.6202472,2019-06-21
"대구광역시청",대구광역시 북구 관문동 618-49,대구광역시 북구 관문동 618-49,교통단속,1,130,버스전용차로 차량 진행방면,,2000-04,053-803-4887,35.902207,128.547110,2019-06-21
"대구광역시청",대구광역시 동구 아양로 245,대구광역시 동구 신암동 1575,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.8823794,128.6255254,2019-06-21
"대구광역시청",대구광역시 동구 아양로 245,대구광역시 동구 신암동 1575,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.8823794,128.6255254,2019-06-21
"대구광역시청",대구광역시 북구 관문동 618-49,대구광역시 북구 관문동 618-49,교통단속,1,130,버스전용차로 차량 진행방면,,2003-02,053-803-4887,35.902207,128.547110,2019-06-21
"대구광역시청",대구광역시 동구 동촌로 127,대구광역시 동구 검사동 908-5,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.8861564,128.655665,2019-06-21
"대구광역시청",대구광역시 동구 동촌로 127,대구광역시 동구 검사동 908-5,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.8861564,128.655665,2019-06-21
"대구광역시청",대구광역시 수성구 동대구로 154,대구광역시 수성구 황금2동 613,교통단속,1,130,버스전용차로 차량 진행방면,,2004-01,053-803-4887,35.8443207,128.6252903,2019-06-21
"대구광역시청",대구광역시 수성구 동대구로 154,대구광역시 수성구 황금2동 613,교통단속,1,130,버스전용차로 차량 진행방면,,2006-02,053-803-4887,35.8443207,128.6252903,2019-06-21
